iter	Accuracy	Logloss
186	0.9401360544	0.180994926
187	0.9414965986	0.1805079239
188	0.9414965986	0.1796447622
189	0.9414965986	0.1786128462
190	0.9414965986	0.1783666544
191	0.9414965986	0.1776669247
192	0.9414965986	0.1771405932
193	0.9414965986	0.1767715826
194	0.9414965986	0.1760893619
195	0.9428571429	0.1756596531
196	0.9428571429	0.1752682689
197	0.9428571429	0.175062941
198	0.9428571429	0.1745461746
199	0.9428571429	0.1736420917
200	0.9428571429	0.1731749798
201	0.9428571429	0.1724926657
202	0.9428571429	0.1721867778
203	0.9428571429	0.1715948641
204	0.9428571429	0.1714642561
205	0.9428571429	0.1708270856
206	0.9442176871	0.1704520085
207	0.9442176871	0.1702142897
208	0.9455782313	0.1696977322
209	0.9455782313	0.1692642114
210	0.9442176871	0.1687581359
211	0.9455782313	0.1685478982
212	0.9455782313	0.1679191639
213	0.9455782313	0.167557864
214	0.9455782313	0.1674866461
215	0.9455782313	0.1673512309
216	0.9455782313	0.1671401038
217	0.9455782313	0.1666820283
218	0.9455782313	0.1658020157
219	0.9455782313	0.1653586327
220	0.9469387755	0.1653342001
221	0.9469387755	0.1651617289
222	0.9469387755	0.1648142458
223	0.9469387755	0.1644083712
224	0.9469387755	0.1640680643
225	0.9469387755	0.1635361791
226	0.9469387755	0.1629108976
227	0.9469387755	0.1627356393
228	0.9482993197	0.1622210925
229	0.9482993197	0.1621132857
230	0.9482993197	0.1616447072
231	0.9482993197	0.1612289316
232	0.9482993197	0.1605304305
233	0.9482993197	0.1602422823
234	0.9482993197	0.1597751684
235	0.9482993197	0.1593252377
236	0.9496598639	0.1590243625
237	0.9496598639	0.1585810804
238	0.9510204082	0.158253974
239	0.9510204082	0.1576391742
240	0.9510204082	0.1572006659
241	0.9510204082	0.1567895486
242	0.9510204082	0.1562605044
243	0.9523809524	0.1556511656
244	0.9537414966	0.1549977291
245	0.9537414966	0.1546118695
246	0.9537414966	0.1540250187
247	0.9537414966	0.1538956716
248	0.9537414966	0.1537647778
249	0.9537414966	0.1529700231
250	0.9537414966	0.1524971049
251	0.9537414966	0.1524209979
252	0.9537414966	0.1521897653
253	0.9551020408	0.1517915124
254	0.956462585	0.1512332304
255	0.956462585	0.1510046726
256	0.956462585	0.1503255404
257	0.956462585	0.1497068916
258	0.956462585	0.1490012267
259	0.956462585	0.1482653918
260	0.956462585	0.1479111842
261	0.9578231293	0.1474821415
262	0.9578231293	0.1474666259
263	0.9578231293	0.146595246
264	0.9578231293	0.1465640488
265	0.9591836735	0.1460884273
266	0.9591836735	0.1458940412
267	0.9591836735	0.1454489376
268	0.9578231293	0.1445413328
269	0.9578231293	0.1443201741
270	0.9578231293	0.1442676925
271	0.9578231293	0.1441547788
272	0.9578231293	0.1438172237
273	0.9605442177	0.1431485641
274	0.9605442177	0.1429954711
275	0.9619047619	0.1422727672
276	0.9619047619	0.1420947327
277	0.9632653061	0.1417909639
278	0.9632653061	0.1416176484
279	0.9619047619	0.140998083
280	0.9619047619	0.1407770842
281	0.9619047619	0.1402919049
282	0.9619047619	0.1400310116
283	0.9619047619	0.1398624544
284	0.9619047619	0.1394037618
285	0.9619047619	0.1391356773
286	0.9619047619	0.1390144648
287	0.9619047619	0.1385901616
288	0.9619047619	0.1384766043
289	0.9619047619	0.1382879119
290	0.9619047619	0.1374038841
291	0.9619047619	0.1373042957
292	0.9619047619	0.1372093208
293	0.9619047619	0.1367917736
294	0.9619047619	0.1362658519
295	0.9619047619	0.1357674295
296	0.9619047619	0.1355289276
297	0.9632653061	0.1350530219
298	0.9646258503	0.1347644646
299	0.9646258503	0.1342352298
300	0.9646258503	0.1337863533
301	0.9646258503	0.1333666287
302	0.9646258503	0.1329547286
303	0.9646258503	0.1325895594
304	0.9646258503	0.1325044188
305	0.9646258503	0.1324826521
306	0.9646258503	0.1320798275
307	0.9646258503	0.1314295314
308	0.9646258503	0.1307423893
309	0.9646258503	0.1305748961
310	0.9646258503	0.1303723007
311	0.9646258503	0.1298209897
312	0.9646258503	0.1292521056
313	0.9646258503	0.129077283
314	0.9646258503	0.1288092888
315	0.9646258503	0.128526199
316	0.9646258503	0.1285105022
317	0.9646258503	0.1279261747
318	0.9659863946	0.1275845955
319	0.9659863946	0.1270528578
320	0.9659863946	0.1270055107
321	0.9659863946	0.126797834
322	0.968707483	0.126588192
323	0.968707483	0.1265686016
324	0.968707483	0.1264508871
325	0.968707483	0.1261972685
326	0.968707483	0.1261797038
327	0.968707483	0.1261047791
328	0.968707483	0.1255921588
329	0.968707483	0.1252855642
330	0.968707483	0.1247821889
331	0.968707483	0.1246212054
332	0.968707483	0.1241870156
333	0.968707483	0.1239771328
334	0.968707483	0.1235495445
335	0.968707483	0.1234821869
336	0.968707483	0.1229888137
337	0.968707483	0.1227252492
338	0.968707483	0.1225471464
339	0.9714285714	0.1223418712
340	0.9714285714	0.1220348111
341	0.9700680272	0.1216978927
342	0.9714285714	0.121206516
343	0.9727891156	0.1209985075
344	0.9727891156	0.120686748
345	0.9727891156	0.1201413216
346	0.9727891156	0.1197730026
347	0.9727891156	0.119566789
348	0.9727891156	0.1193131873
349	0.9727891156	0.1192954963
350	0.9727891156	0.1190986113
351	0.9727891156	0.1187403404
352	0.9727891156	0.1184620772
353	0.9727891156	0.1183046741
354	0.9727891156	0.1180342133
355	0.9727891156	0.1175205793
356	0.9727891156	0.1174282105
357	0.9727891156	0.1169979449
358	0.9741496599	0.1168008517
359	0.9741496599	0.1165166424
360	0.9741496599	0.1161027737
361	0.9741496599	0.115751037
362	0.9741496599	0.1155164329
363	0.9741496599	0.1152560858
364	0.9741496599	0.1151318601
365	0.9741496599	0.1146058635
366	0.9741496599	0.1141852363
367	0.9741496599	0.1140839056
368	0.9741496599	0.1135569821
369	0.9741496599	0.113465701
370	0.9741496599	0.1132550992
371	0.9741496599	0.1130572957
372	0.9741496599	0.1129549851
373	0.9741496599	0.1127548303
374	0.9741496599	0.1125768793
375	0.9741496599	0.1121243671
376	0.9741496599	0.1118123439
377	0.9741496599	0.1115187538
378	0.9755102041	0.1112579356
379	0.9741496599	0.1109262705
380	0.9741496599	0.1107770217
381	0.9768707483	0.1105801368
382	0.9768707483	0.1102338298
383	0.9782312925	0.1100237964
384	0.9782312925	0.1097636364
385	0.9782312925	0.1093866688
386	0.9795918367	0.1090913094
387	0.9795918367	0.1089161216
388	0.9795918367	0.1087537396
389	0.9795918367	0.1085356211
390	0.9795918367	0.1082926809
391	0.9795918367	0.1081256078
392	0.9795918367	0.1080056882
393	0.9795918367	0.1078376617
394	0.9795918367	0.1075584436
395	0.9795918367	0.1073094419
396	0.9795918367	0.1071493148
397	0.9795918367	0.106953673
398	0.9795918367	0.1066123013
399	0.9795918367	0.1064971901
400	0.9795918367	0.1063928923
401	0.9795918367	0.1061973006
402	0.9795918367	0.106053596
403	0.9795918367	0.1060214914
404	0.9795918367	0.1057575432
405	0.9795918367	0.1054618524
406	0.9795918367	0.1053551804
407	0.9795918367	0.1051278661
408	0.9795918367	0.1050067099
409	0.9795918367	0.1047064886
410	0.9795918367	0.1042218883
411	0.9795918367	0.1039620829
412	0.9795918367	0.103747721
413	0.9795918367	0.103390917
414	0.9795918367	0.1031672747
415	0.9795918367	0.1029818443
416	0.9795918367	0.1028982202
417	0.9795918367	0.1026089977
418	0.980952381	0.1023533712
419	0.980952381	0.1021491024
420	0.980952381	0.1019668954
421	0.980952381	0.1019429931
422	0.980952381	0.1016134949
423	0.980952381	0.1014933035
424	0.980952381	0.1012492476
425	0.980952381	0.1010983317
426	0.980952381	0.1010249106
427	0.980952381	0.100829004
428	0.980952381	0.1008040801
429	0.980952381	0.1007635351
430	0.980952381	0.1007070029
431	0.980952381	0.1003750986
432	0.980952381	0.1002271328
433	0.980952381	0.09991745637
434	0.980952381	0.09978226415
435	0.980952381	0.09959477183
436	0.980952381	0.09936804042
437	0.980952381	0.09923574476
438	0.980952381	0.09920446342
439	0.980952381	0.09882809485
440	0.980952381	0.09856101046
441	0.980952381	0.09829115437
442	0.9823129252	0.09802386125
443	0.9836734694	0.09777161436
444	0.9836734694	0.09770715085
445	0.9836734694	0.09743207987
446	0.9836734694	0.09728505552
447	0.9836734694	0.09699260846
448	0.9836734694	0.09697243395
449	0.9836734694	0.09666900868
450	0.9836734694	0.09659865098
451	0.9836734694	0.0961578068
452	0.9836734694	0.09583282703
453	0.9836734694	0.0954770198
454	0.9836734694	0.09511903249
455	0.9836734694	0.09474787436
456	0.9836734694	0.09453527415
457	0.9836734694	0.09444200205
458	0.9850340136	0.09402835811
459	0.9850340136	0.09380474902
460	0.9863945578	0.09351606359
461	0.9863945578	0.09320522777
462	0.9863945578	0.09303697391
463	0.9863945578	0.09262447234
464	0.9863945578	0.09249211503
465	0.9863945578	0.09243557979
466	0.987755102	0.09221064641
467	0.987755102	0.09196157316
468	0.987755102	0.09174301204
469	0.987755102	0.09136299041
470	0.987755102	0.09123879586
471	0.987755102	0.09095886286
472	0.987755102	0.0909239791
473	0.987755102	0.09062425617
474	0.987755102	0.09037514946
475	0.987755102	0.09031929366
476	0.987755102	0.09013470337
477	0.987755102	0.08992615931
478	0.987755102	0.08983606486
479	0.987755102	0.08968055431
480	0.987755102	0.08945338158
481	0.987755102	0.08939974648
482	0.987755102	0.08918118106
483	0.987755102	0.08878367122
484	0.987755102	0.08877087698
485	0.987755102	0.0886865418
486	0.987755102	0.08862252081
487	0.987755102	0.08845461742
488	0.987755102	0.08834788782
489	0.987755102	0.08821964899
490	0.987755102	0.08814405435
491	0.9891156463	0.08793201739
492	0.9891156463	0.08770279629
493	0.9891156463	0.08748310957
494	0.9891156463	0.08725148651
495	0.9891156463	0.08702422593
496	0.9891156463	0.08674331239
497	0.9891156463	0.08660567549
498	0.9891156463	0.08638635448
499	0.9891156463	0.08606410304
